,evtype,std_name
287,HARD FREEZE,FROST/FREEZE
288,HAIL 200,HAIL
289,HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW
290,HEAVY RAIN AND FLOOD,HEAVY RAIN
291,URBAN AND SMALL,FLOOD
292,WILDFIRES,WILDFIRE
293,SNOW/COLD,WINTER WEATHER
294,FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
295,TSTM WIND G58,MARINE THUNDERSTORM WIND
296,HEAVY SNOW SQUALLS,HEAVY SNOW
297,SNOW/ICE STORM,HEAVY SNOW
298,HEAVY SNOW/SQUALLS,HEAVY SNOW
299,HEAVY SNOW-SQUALLS,HEAVY SNOW
300,HEAVY MIX,SLEET
301,SNOW FREEZING RAIN,SLEET
302,SNOW/SLEET,SLEET
303,SNOW/FREEZING RAIN,SLEET
304,SNOW/SLEET/FREEZING RAIN,SLEET
305,RECORD SNOW,HEAVY SNOW
306,HAIL 0.75,HAIL
307,THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
308,THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
309,THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
310,THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
311,THUNDERSTORM WIND TREES,THUNDERSTORM WIND
312,COASTAL SURGE,HIGH SURF
313,HURRICANE GORDON,HURRICANE (TYPHOON)
314,THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
315,THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
316,THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
317,THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
318,THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
319,FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
320,THUNDERSTORM WIND.,THUNDERSTORM WIND
321,FLASH FLOOD/ STREET,FLASH FLOOD
322,HEAVY SNOW/BLIZZARD,HEAVY SNOW
323,THUNDERSTORM HAIL,THUNDERSTORM WIND
324,THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
325,LIGHTNING  WAUSEON,LIGHTNING
326,THUDERSTORM WINDS,THUNDERSTORM WIND
327,ICE AND SNOW,WINTER WEATHER
328,STORM FORCE WINDS,HIGH WIND
329,LIGHTING,LIGHTNING
330,THUNDERSTORM WINDS AND,THUNDERSTORM WIND
331,HEAVY PRECIPITATION,HEAVY RAIN
332,HIGH WIND/BLIZZARD,HIGH WIND
333,TSTM WIND DAMAGE,MARINE THUNDERSTORM WIND
334,FLOOD FLASH,FLASH FLOOD
335,SNOW/ICE,HEAVY SNOW
336,HAIL 75,HAIL
337,FLOOD/FLASH,FLASH FLOOD
338,HEAVY RAINS/FLOODING,HEAVY RAIN
339,THUNDERESTORM WINDS,THUNDERSTORM WIND
340,THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
341,THUNDEERSTORM WINDS,THUNDERSTORM WIND
342,THUNERSTORM WINDS,THUNDERSTORM WIND
343,ICE/STRONG WINDS,ICE STORM
344,SNOWMELT FLOODING,FLOOD
345,HEAVY SNOW AND STRONG WINDS,HEAVY SNOW
346,SNOW ACCUMULATION,HEAVY SNOW
347,SNOW/ ICE,HEAVY SNOW
